url,real_description,random_description,humor_caption,caption1,caption2,caption3,response_text
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_53.jpeg?raw=true,"The image is a humorous cartoon showing two people in bed, one reading a book and the other hidden behind a newspaper with only antenna-like extensions visible, suggesting a playful pun on watching ""the bugs"" or being absorbed in reading about bugs or technology.","The black-and-white cartoon shows a group of six people dressed in business attire, sharing a large bed with a briefcase on the floor at the foot of the bed, which creates a humorous juxtaposition of a professional setting and a private, typically non-professional space.",Would your mother find chilled larvae in a light honey glaze too waspy?,"The image is a humorous cartoon showing two people in bed, one reading a book and the other hidden behind a newspaper with only antenna-like extensions visible, suggesting a playful pun on watching ""the bugs"" or being absorbed in reading about bugs or technology.",Would your mother find chilled larvae in a light honey glaze too waspy?,"The black-and-white cartoon shows a group of six people dressed in business attire, sharing a large bed with a briefcase on the floor at the foot of the bed, which creates a humorous juxtaposition of a professional setting and a private, typically non-professional space.","{""selected caption number"":""1""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_57.jpeg?raw=true,"The image is a black-and-white cartoon showing two men in a living room, one standing by a fireplace over which a large fish is mounted, with a clock and two small vases on the mantelpiece, as they appear to be engaged in a conversation.",The image shows five individuals engaged in a business meeting around a rectangular table.,"It's painful, but I couldn't stand another chorus of ‘Take Me to the River.’","It's painful, but I couldn't stand another chorus of ‘Take Me to the River.’","The image is a black-and-white cartoon showing two men in a living room, one standing by a fireplace over which a large fish is mounted, with a clock and two small vases on the mantelpiece, as they appear to be engaged in a conversation.",The image shows five individuals engaged in a business meeting around a rectangular table.,"{""2"":""The image is a black-and-white cartoon showing two men in a living room, one standing by a fireplace over which a large fish is mounted, with a clock and two small vases on the mantelpiece, as they appear to be engaged in a conversation.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_61.jpeg?raw=true,"The cartoon depicts a person sitting on what appears to be an oversized hand in the place of a chair, looking out of an open door with a surprised expression as the fingers of the hand extend onto the floor like a carpet.","The image shows four people engaging in what appears to be a friendly exchange on a sidewalk, with one man in a bowler hat gesturing enthusiastically.","Really God, you worry too much.","The image shows four people engaging in what appears to be a friendly exchange on a sidewalk, with one man in a bowler hat gesturing enthusiastically.","Really God, you worry too much.","The cartoon depicts a person sitting on what appears to be an oversized hand in the place of a chair, looking out of an open door with a surprised expression as the fingers of the hand extend onto the floor like a carpet.","{""selected caption number"":""3: The cartoon depicts a person sitting on what appears to be an oversized hand in the place of a chair, looking out of an open door with a surprised expression as the fingers of the hand extend onto the floor like a carpet.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_65.jpeg?raw=true,"The picture shows a monochrome cartoon of a meeting with both humans and robots seated around a conference table, suggesting a humorous blend of technology and traditional business.","The image depicts a humorous cartoon scene at Roosevelt Kite Park where people are flying kites, including one kite that is comically shaped like an elephant.","They're programmed to be idiots, Higgins. What's your excuse?","The picture shows a monochrome cartoon of a meeting with both humans and robots seated around a conference table, suggesting a humorous blend of technology and traditional business.","They're programmed to be idiots, Higgins. What's your excuse?","The image depicts a humorous cartoon scene at Roosevelt Kite Park where people are flying kites, including one kite that is comically shaped like an elephant.","{""selected caption number"":""1""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_78.jpeg?raw=true,"The image is a cartoon showing two adults sleeping in a crib-like bed with bars, humorously implying that parenthood has put them in the place of a child.","The image is a black-and-white cartoon showing a social gathering where a relatively small man is standing in the foreground looking up to much taller men and women, possibly poking fun at his height difference compared to the others.",Ever think about kids?,"The image is a black-and-white cartoon showing a social gathering where a relatively small man is standing in the foreground looking up to much taller men and women, possibly poking fun at his height difference compared to the others.","The image is a cartoon showing two adults sleeping in a crib-like bed with bars, humorously implying that parenthood has put them in the place of a child.",Ever think about kids?,"{""2"":""The image is a cartoon showing two adults sleeping in a crib-like bed with bars, humorously implying that parenthood has put them in the place of a child.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_92.jpeg?raw=true,"Two people stand on a sidewalk conversing, unaware of the large, anthropomorphic dolphin figure standing oddly close behind them.",A man in a crown sits on a throne under an oversized sword hanging by a thread while another man seems to offer him a document.,"Come on, George. You know he's only going to spend it on more oxygen.",A man in a crown sits on a throne under an oversized sword hanging by a thread while another man seems to offer him a document.,"Two people stand on a sidewalk conversing, unaware of the large, anthropomorphic dolphin figure standing oddly close behind them.","Come on, George. You know he's only going to spend it on more oxygen.","{selected caption number:'2: Two people stand on a sidewalk conversing, unaware of the large, anthropomorphic dolphin figure standing oddly close behind them.'}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_106.jpeg?raw=true,"The black and white cartoon depicts a bespectacled man handing papers to a disgruntled-looking creature seated at a cluttered desk, situated in an office setting with two windows.",Two people are conversing at a bar over drinks in a casually sketched black-and-white cartoon.,We'll have to run it by our infinite number of editors.,Two people are conversing at a bar over drinks in a casually sketched black-and-white cartoon.,"The black and white cartoon depicts a bespectacled man handing papers to a disgruntled-looking creature seated at a cluttered desk, situated in an office setting with two windows.",We'll have to run it by our infinite number of editors.,"{""selected caption number"":""2: The black and white cartoon depicts a bespectacled man handing papers to a disgruntled-looking creature seated at a cluttered desk, situated in an office setting with two windows.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_108.jpeg?raw=true,"The image portrays a humorous scene where a caveman is wheeling a wheelbarrow with square wheels, while another caveman observes from a nearby cave, possibly suggesting a prehistoric take on the concept of inefficiency or innovation.","The cartoon depicts a person sitting on what appears to be an oversized hand in the place of a chair, looking out of an open door with a surprised expression as the fingers of the hand extend onto the floor like a carpet.",’He's always thinking outside the rock.’,"The cartoon depicts a person sitting on what appears to be an oversized hand in the place of a chair, looking out of an open door with a surprised expression as the fingers of the hand extend onto the floor like a carpet.","The image portrays a humorous scene where a caveman is wheeling a wheelbarrow with square wheels, while another caveman observes from a nearby cave, possibly suggesting a prehistoric take on the concept of inefficiency or innovation.",’He's always thinking outside the rock.’,"{2: ""The image portrays a humorous scene where a caveman is wheeling a wheelbarrow with square wheels, while another caveman observes from a nearby cave, possibly suggesting a prehistoric take on the concept of inefficiency or innovation.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_111.jpeg?raw=true,"A person returns home with half of their body dressed in business attire and the other half in casual wear, while another person sits on a couch reading.","A person dressed in a kangaroo costume is walking through a metal detector at an airport security checkpoint, while a security officer is peeking out from a side door, and two businessmen are standing in line, creating a humorous scene.","Forgot my underwear, shirt, suit, belt, tie, and watch.","Forgot my underwear, shirt, suit, belt, tie, and watch.","A person dressed in a kangaroo costume is walking through a metal detector at an airport security checkpoint, while a security officer is peeking out from a side door, and two businessmen are standing in line, creating a humorous scene.","A person returns home with half of their body dressed in business attire and the other half in casual wear, while another person sits on a couch reading.","{""selected caption number"":""3""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_117.jpeg?raw=true,"The image is a monochrome cartoon depicting two individuals sitting apart in a sunken area with stars on the floor, resembling a spotlight, and multiple doors around the space, suggesting a humorous take on a therapy or discussion setting.",The image illustrates a rider being thrown off a horse while attempting to jump over a fence.,The people who lived here before had lions.,The image illustrates a rider being thrown off a horse while attempting to jump over a fence.,"The image is a monochrome cartoon depicting two individuals sitting apart in a sunken area with stars on the floor, resembling a spotlight, and multiple doors around the space, suggesting a humorous take on a therapy or discussion setting.",The people who lived here before had lions.,"{""selected caption number"":""2: The image is a monochrome cartoon depicting two individuals sitting apart in a sunken area with stars on the floor, resembling a spotlight, and multiple doors around the space, suggesting a humorous take on a therapy or discussion setting.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_124.jpeg?raw=true,"This image depicts a humorous cartoon of a group of lions progressively succumbing to the intense heat of a desert environment, with each frame showing them more and more exhausted and melted into the ground.","A person stands at the base of a tall tower, holding the end of a long braid that hangs from a window where someone is gesturing for them to climb up.","If we had just started wandering fifteen minutes earlier, we would have missed most of this traffic.","This image depicts a humorous cartoon of a group of lions progressively succumbing to the intense heat of a desert environment, with each frame showing them more and more exhausted and melted into the ground.","A person stands at the base of a tall tower, holding the end of a long braid that hangs from a window where someone is gesturing for them to climb up.","If we had just started wandering fifteen minutes earlier, we would have missed most of this traffic.","{""selected caption number"":""1""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_125.jpeg?raw=true,"The black-and-white cartoon shows a group of six people dressed in business attire, sharing a large bed with a briefcase on the floor at the foot of the bed, which creates a humorous juxtaposition of a professional setting and a private, typically non-professional space.","A person is sitting up in bed looking at a pillow with an imprint of a head on it, while a surreal large image of the moon or Earth appears outside the window.",So this is what it's like to be a Nielsen family.,So this is what it's like to be a Nielsen family.,"A person is sitting up in bed looking at a pillow with an imprint of a head on it, while a surreal large image of the moon or Earth appears outside the window.","The black-and-white cartoon shows a group of six people dressed in business attire, sharing a large bed with a briefcase on the floor at the foot of the bed, which creates a humorous juxtaposition of a professional setting and a private, typically non-professional space.","{""selected caption number"":""3: The black-and-white cartoon shows a group of six people dressed in business attire, sharing a large bed with a briefcase on the floor at the foot of the bed, which creates a humorous juxtaposition of a professional setting and a private, typically non-professional space.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_127.jpeg?raw=true,"A person is sitting on a bucket ice fishing next to a small hut, while another stands nearby, with a bird perched on a piece of wood and a mountainous background.","The image is a humorous cartoon by Gahan Wilson showing one cowboy standing on the ground holding a horse, while another cowboy sits on a horse whose body and legs are comically elongated.",Ice fishing and skydiving—who says they don't go together?,Ice fishing and skydiving—who says they don't go together?,"A person is sitting on a bucket ice fishing next to a small hut, while another stands nearby, with a bird perched on a piece of wood and a mountainous background.","The image is a humorous cartoon by Gahan Wilson showing one cowboy standing on the ground holding a horse, while another cowboy sits on a horse whose body and legs are comically elongated.","{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_138.jpeg?raw=true,"A person is sitting at a comically oversized desk across from another individual in an office setting, conveying a humorous take on power dynamics in the workplace.",The image is a black-and-white cartoon showing a person working intently at a computer in an office environment while two identical-looking supervisors stand behind observing.,And if you'll agree to drop the divorce proceedings and reconcile I'll throw in a pair of lobsters.,"A person is sitting at a comically oversized desk across from another individual in an office setting, conveying a humorous take on power dynamics in the workplace.",The image is a black-and-white cartoon showing a person working intently at a computer in an office environment while two identical-looking supervisors stand behind observing.,And if you'll agree to drop the divorce proceedings and reconcile I'll throw in a pair of lobsters.,"{""1"":""A person is sitting at a comically oversized desk across from another individual in an office setting, conveying a humorous take on power dynamics in the workplace.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_142.jpeg?raw=true,"The image is a cartoon of two people sitting comfortably in a living room, with framed pictures on the walls and a bizarrely parked car in the center of the room.","A man in pajamas looks bewildered as water pours down on him and the bedroom floor, likely from a burst pipe above, while a woman in bed appears to be waking up to the chaos.","When you don't want one, they're everywhere.","A man in pajamas looks bewildered as water pours down on him and the bedroom floor, likely from a burst pipe above, while a woman in bed appears to be waking up to the chaos.","When you don't want one, they're everywhere.","The image is a cartoon of two people sitting comfortably in a living room, with framed pictures on the walls and a bizarrely parked car in the center of the room.","{""3"":""The image is a cartoon of two people sitting comfortably in a living room, with framed pictures on the walls and a bizarrely parked car in the center of the room.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_143.jpeg?raw=true,"The image shows two men in suits by an office; one is pointing the way, while the other, carrying a briefcase, gestures to an awkward stash of toilet paper under his arm.","The picture is a black-and-white cartoon showing a group of people in what appears to be a medieval setting, with two individuals holding unusually large pencils while one person sharpens the tip of their pencil on a wall, indicating a humorous take on sword sharpening.",I couldn't find a real naked woman to ride with me in the H.O.V. lane.,"The picture is a black-and-white cartoon showing a group of people in what appears to be a medieval setting, with two individuals holding unusually large pencils while one person sharpens the tip of their pencil on a wall, indicating a humorous take on sword sharpening.","The image shows two men in suits by an office; one is pointing the way, while the other, carrying a briefcase, gestures to an awkward stash of toilet paper under his arm.",I couldn't find a real naked woman to ride with me in the H.O.V. lane.,"{""selected caption number"":""2: The image shows two men in suits by an office; one is pointing the way, while the other, carrying a briefcase, gestures to an awkward stash of toilet paper under his arm.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_145.jpeg?raw=true,"A giant creature resembling King Kong is peering into an apartment window where a man, oblivious to the creature's presence, is drinking from a cup.",The image depicts a cartoon of a cowboy playing a banjo on a sofa and a psychotherapist taking notes while seated in a chair in a cozy room with a bookshelf and a framed picture on the wall.,O.K. I'm at the window. To the right? Your right or my right?,"A giant creature resembling King Kong is peering into an apartment window where a man, oblivious to the creature's presence, is drinking from a cup.",O.K. I'm at the window. To the right? Your right or my right?,The image depicts a cartoon of a cowboy playing a banjo on a sofa and a psychotherapist taking notes while seated in a chair in a cozy room with a bookshelf and a framed picture on the wall.,"{""selected caption number"":""1: A giant creature resembling King Kong is peering into an apartment window where a man, oblivious to the creature's presence, is drinking from a cup.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_146.jpeg?raw=true,"The image is a black-and-white cartoon showing a person with a blank circular face sitting across the desk from a psychiatrist, who is taking notes.","This image depicts a humorous cartoon of a group of lions progressively succumbing to the intense heat of a desert environment, with each frame showing them more and more exhausted and melted into the ground.","Besides being a stick, what is your greatest weakness?","The image is a black-and-white cartoon showing a person with a blank circular face sitting across the desk from a psychiatrist, who is taking notes.","This image depicts a humorous cartoon of a group of lions progressively succumbing to the intense heat of a desert environment, with each frame showing them more and more exhausted and melted into the ground.","Besides being a stick, what is your greatest weakness?","{""1"":""The image is a black-and-white cartoon showing a person with a blank circular face sitting across the desk from a psychiatrist, who is taking notes.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_156.jpeg?raw=true,Two people are conversing at a bar over drinks in a casually sketched black-and-white cartoon.,"A person is running inside a large stationary wheel, reminiscent of a hamster wheel, located in a room with an open door.","I'm looking forward to casual Friday, when I can put on some flats.",Two people are conversing at a bar over drinks in a casually sketched black-and-white cartoon.,"A person is running inside a large stationary wheel, reminiscent of a hamster wheel, located in a room with an open door.","I'm looking forward to casual Friday, when I can put on some flats.","{""selected caption number"":""1: Two people are conversing at a bar over drinks in a casually sketched black-and-white cartoon.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_164.jpeg?raw=true,"A person is entering a room filled with goats, with some goats sitting on furniture and others standing on a bookshelf, while a man seated in an armchair appears unfazed.","The image is a humorous cartoon where a man in a business suit is lying on a psychiatrist's couch, but his body is comically extended and ends in a crocodile's tail, surprising the psychiatrist who is taking notes.","Come sweater season, you'll be back!","A person is entering a room filled with goats, with some goats sitting on furniture and others standing on a bookshelf, while a man seated in an armchair appears unfazed.","Come sweater season, you'll be back!","The image is a humorous cartoon where a man in a business suit is lying on a psychiatrist's couch, but his body is comically extended and ends in a crocodile's tail, surprising the psychiatrist who is taking notes.","{""selected caption number"":""1: A person is entering a room filled with goats, with some goats sitting on furniture and others standing on a bookshelf, while a man seated in an armchair appears unfazed.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_167.jpeg?raw=true,"The picture is a humorous illustration depicting a group of animals attentively listening to a human speaker at a podium in a forest, resembling a political rally or public speech.","The image is a monochrome cartoon depicting two individuals sitting apart in a sunken area with stars on the floor, resembling a spotlight, and multiple doors around the space, suggesting a humorous take on a therapy or discussion setting.","As a weasel, I need your vote.","As a weasel, I need your vote.","The picture is a humorous illustration depicting a group of animals attentively listening to a human speaker at a podium in a forest, resembling a political rally or public speech.","The image is a monochrome cartoon depicting two individuals sitting apart in a sunken area with stars on the floor, resembling a spotlight, and multiple doors around the space, suggesting a humorous take on a therapy or discussion setting.","{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_170.jpeg?raw=true,"A black and white cartoon depicts two men in an office setting, one of whom is nonchalantly holding a turkey inside his shirt with a surprised expression, while the other looks on with a coffee cup in hand.","The picture shows a humorous illustration of two people on separate high-rise buildings, using a church steeple as a bridge to create a shared clothesline.",I am useless until I have my morning turkey.,"The picture shows a humorous illustration of two people on separate high-rise buildings, using a church steeple as a bridge to create a shared clothesline.","A black and white cartoon depicts two men in an office setting, one of whom is nonchalantly holding a turkey inside his shirt with a surprised expression, while the other looks on with a coffee cup in hand.",I am useless until I have my morning turkey.,"{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_172.jpeg?raw=true,"The image is a black-and-white illustration showing several ambiguous figures with prominent noses and a distinctly happy central character, all drawn in a loose, sketchy style.","An astronaut on the moon looks perplexed as they discover a person buried up to their waist, seemingly engaged in an act of vandalism amid a minimalist lunar landscape.",We really need to revisit our immigration policy.,"An astronaut on the moon looks perplexed as they discover a person buried up to their waist, seemingly engaged in an act of vandalism amid a minimalist lunar landscape.","The image is a black-and-white illustration showing several ambiguous figures with prominent noses and a distinctly happy central character, all drawn in a loose, sketchy style.",We really need to revisit our immigration policy.,"{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_185.jpeg?raw=true,"A cartoon depicts a naked man casually walking away while a bear holds what appears to be his clothing on a stick in the background, suggesting the bear stole his clothes.",A child is offering a teapot to a genie emerging from a toaster on a kitchen counter.,Hi there! Can I interest you in some promotional material about intelligent design?,"A cartoon depicts a naked man casually walking away while a bear holds what appears to be his clothing on a stick in the background, suggesting the bear stole his clothes.",A child is offering a teapot to a genie emerging from a toaster on a kitchen counter.,Hi there! Can I interest you in some promotional material about intelligent design?,"{1:'A cartoon depicts a naked man casually walking away while a bear holds what appears to be his clothing on a stick in the background, suggesting the bear stole his clothes.'}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_203.jpeg?raw=true,"The image depicts a whimsical scene where a group of people are assembling or dismantling a large, striped fabric or structure that resembles a deflated hot air balloon, with a castle in the background, under a cloudy sky.","The image depicts a turtle standing next to a tree piled with numerous directional signs, seemingly overwhelmed by the choices in a forest setting.","Lily pad . . . lily plant . . . Damn, I've forgotten my safe word!","The image depicts a whimsical scene where a group of people are assembling or dismantling a large, striped fabric or structure that resembles a deflated hot air balloon, with a castle in the background, under a cloudy sky.","Lily pad . . . lily plant . . . Damn, I've forgotten my safe word!","The image depicts a turtle standing next to a tree piled with numerous directional signs, seemingly overwhelmed by the choices in a forest setting.","{""selected caption number"":""1""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_211.jpeg?raw=true,"An astronaut on the moon looks perplexed as they discover a person buried up to their waist, seemingly engaged in an act of vandalism amid a minimalist lunar landscape.","The image is a black-and-white illustration showing several ambiguous figures with prominent noses and a distinctly happy central character, all drawn in a loose, sketchy style.",You border patrol are good.,"The image is a black-and-white illustration showing several ambiguous figures with prominent noses and a distinctly happy central character, all drawn in a loose, sketchy style.",You border patrol are good.,"An astronaut on the moon looks perplexed as they discover a person buried up to their waist, seemingly engaged in an act of vandalism amid a minimalist lunar landscape.","{""selected caption number"":""3: An astronaut on the moon looks perplexed as they discover a person buried up to their waist, seemingly engaged in an act of vandalism amid a minimalist lunar landscape.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_213.jpeg?raw=true,"Two potatoes are lying in bed with one reading a book, appearing to depict a couple in an anthropomorphic humorous illustration.","A man dressed in royal attire with a crown is sitting on an examination table in a doctor's office while the doctor, holding a clipboard, appears to be discussing his health.",They ignored your first ten. What makes you think you'll do any better with these?,They ignored your first ten. What makes you think you'll do any better with these?,"A man dressed in royal attire with a crown is sitting on an examination table in a doctor's office while the doctor, holding a clipboard, appears to be discussing his health.","Two potatoes are lying in bed with one reading a book, appearing to depict a couple in an anthropomorphic humorous illustration.","{""selected caption number"":""3: Two potatoes are lying in bed with one reading a book, appearing to depict a couple in an anthropomorphic humorous illustration.""}"
